x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,type
-210,244,-70,25,-53,-110,1,32,-98,-31,-16,-119,-226,244,-98,jumping
-242,244,-85,59,-66,-148,5,30,-88,-28,-39,-116,-179,94,-122,jumping
-17,14,-93,-34,10,-130,-159,244,-125,-107,206,-154,66,-26,-179,jumping
16,25,-103,-19,-15,-120,-205,244,-83,-192,244,-61,9,-59,-109,jumping
-2,23,-76,-20,-18,-141,-135,134,-132,-239,244,14,20,-65,-162,jumping
8,-74,-150,11,1,-115,-17,-5,-131,-143,229,-182,-145,244,-91,jumping
11,-33,-155,-21,28,-65,-11,-17,-147,-97,99,-174,-200,244,-2,jumping
-122,77,-149,17,18,-97,-5,-22,-123,-64,26,-114,-248,244,-149,jumping
-154,201,-131,19,-34,-139,28,10,-112,-27,-39,-132,-248,244,-150,jumping
-248,244,-173,29,-52,-106,-2,3,-100,-28,2,-124,-207,160,-180,jumping
-248,244,-131,32,-38,-136,-22,16,-119,0,-18,-133,-118,80,-175,jumping
-246,244,-135,-47,12,-152,18,-7,-142,-11,11,-119,-45,14,-153,jumping
-225,244,-162,-51,110,-135,14,-44,-138,1,-15,-122,-26,13,-151,jumping
-178,244,-136,-85,241,-174,29,-63,-131,-29,29,-94,-26,-22,-136,jumping
-130,244,-143,-145,244,-118,23,-96,-150,-11,20,-83,-34,-33,-116,jumping
-115,46,-191,-188,244,-79,-3,-76,-149,8,27,-114,-3,-20,-129,jumping
-48,-20,-161,-184,244,-56,-31,26,-129,-1,-20,-126,-17,14,-108,jumping
-33,-2,-134,-248,244,-154,-70,107,-166,29,-18,-170,-14,12,-91,jumping
-20,-18,-135,-248,244,-70,-108,236,-50,45,-52,-134,-24,23,-90,jumping
-6,-10,-145,-216,244,-144,-182,244,21,48,-79,-184,0,23,-90,jumping
-3,-14,-129,-120,193,-171,-211,244,-79,-2,-53,-148,-4,12,-97,jumping
-13,-5,-111,-116,96,-143,-218,244,-55,-26,-39,-116,23,-16,-142,jumping
-9,0,-115,-62,41,-138,-208,244,-92,-31,44,-104,-6,-19,-100,jumping
0,29,-117,-43,15,-147,-170,244,-86,-56,173,-50,-25,-77,-122,jumping
-4,9,-130,-52,1,-153,-165,225,-125,-173,244,-73,-31,-72,-122,jumping
-6,33,-101,-35,-26,-120,-33,28,-151,-188,244,-173,-56,-22,-126,jumping
20,-60,-176,-6,2,-147,-51,6,-136,-221,244,-36,-117,244,-91,jumping
18,-75,-166,-14,29,-81,-21,-15,-121,-148,169,-152,-187,244,-135,jumping
-54,-74,-140,9,4,-87,-25,-37,-83,-106,100,-149,-201,244,-103,jumping
-18,-50,-168,-10,24,-92,-14,-29,-94,-75,79,-159,-247,244,-112,jumping
-38,12,-128,9,26,-90,-16,-3,-120,-70,74,-151,-248,244,-40,jumping
-43,25,-141,-4,9,-113,-12,-5,-106,-28,39,-188,-248,244,-122,jumping
-92,174,-141,-4,8,-107,6,1,-127,-56,-4,-140,-248,244,-41,jumping
-197,244,-116,20,-48,-157,-7,17,-96,-42,-12,-113,-248,244,-156,jumping
-212,244,-69,39,-80,-183,-33,44,-88,-29,-42,-120,-168,195,-134,jumping
-248,244,-28,72,-60,-167,-22,26,-70,-6,-11,-135,-86,66,-146,jumping
-210,244,-161,-14,35,-157,22,-12,-143,-18,-5,-118,-122,18,-144,jumping
-248,244,-120,-29,52,-165,-36,3,-108,-26,1,-112,-46,-4,-151,jumping
-160,181,-202,-138,224,-139,57,-47,-144,15,10,-89,-6,-13,-112,jumping
-75,53,-142,-160,244,-134,-13,-111,-131,2,30,-115,-18,-14,-132,jumping
-23,-1,-141,-240,244,-106,-25,37,-165,17,8,-134,-11,-13,-151,jumping
-16,-29,-115,-248,244,-104,-131,244,-118,32,-65,-142,-8,19,-79,jumping
-22,-32,-114,-178,166,-161,-209,244,-96,23,-92,-164,2,35,-84,jumping
-2,-16,-125,-104,87,-186,-248,244,-35,31,-68,-182,-4,28,-77,jumping
-18,-13,-110,-96,58,-190,-220,244,-83,13,-30,-175,-9,3,-86,jumping
-8,5,-115,-44,37,-131,-203,244,-92,-77,80,-124,12,-28,-127,jumping
-1,24,-90,-23,3,-120,-234,244,-84,-183,241,-87,44,-76,-145,jumping
7,5,-101,-15,-15,-124,-108,221,-202,-178,244,-90,17,-43,-155,jumping
-2,45,-83,-25,-5,-116,-106,74,-172,-212,244,-57,18,-87,-172,jumping
18,61,-92,-14,-23,-127,-115,83,-139,-248,244,-49,-10,-67,-120,jumping
0,22,-101,-27,-42,-135,-138,74,-160,-248,244,-4,40,-45,-159,jumping
-2,-21,-118,-1,8,-124,-86,7,-145,-248,244,-77,-97,35,-107,jumping
22,-12,-140,-9,-10,-113,-13,-8,-133,-248,244,-121,-121,189,-142,jumping
27,-55,-135,-22,-18,-107,-30,-10,-127,-243,239,-91,-215,244,-92,jumping
-12,-49,-114,-55,-2,-95,-43,-8,-134,-206,244,-91,-224,244,-61,jumping
28,-77,-160,-9,-12,-153,-30,-15,-144,-166,160,-115,-236,244,-84,jumping
-19,-8,-172,-33,26,-87,-48,-26,-116,-113,82,-149,-248,244,-60,jumping
-25,59,-154,-1,10,-124,3,-21,-125,-77,-4,-122,-224,244,-55,jumping
