23,14,-9,40,15,19,43,15,19,42,14,21,walking
18,-4,8,38,26,14,27,19,43,26,19,32,walking
15,-10,11,33,15,-20,26,9,18,39,-4,78,walking
24,-15,19,20,20,-19,32,14,26,43,-4,75,walking
27,-14,17,28,15,-18,35,5,19,39,-7,39,walking
16,-10,20,35,12,-9,36,10,16,40,8,41,walking
40,-9,9,26,7,-14,36,9,0,37,1,35,walking
37,8,0,45,19,-37,32,20,-2,52,2,51,walking
28,-16,39,23,-6,13,34,16,-18,47,7,8,walking
6,0,18,34,3,-16,27,18,-12,25,10,37,walking
-10,-34,94,1,-24,37,24,0,-24,28,16,-11,walking
-8,-46,99,38,-18,5,36,8,-21,39,11,11,walking
39,-17,64,30,-13,18,29,7,-15,42,9,0,walking
58,-23,63,45,-22,26,47,13,-25,33,17,7,walking
34,24,35,45,10,-6,31,-11,10,39,7,2,walking
8,33,37,-2,-12,51,50,3,-7,33,20,-7,walking
18,17,29,-7,1,42,7,-13,43,24,22,-19,walking
14,12,19,24,-2,60,13,11,24,15,12,5,walking
22,0,32,20,-2,52,16,4,0,-8,-32,40,walking
29,1,28,25,14,27,-3,-35,61,38,0,-3,walking
47,4,0,33,2,29,11,-30,86,39,3,18,walking
14,11,7,41,2,25,36,-2,46,45,-4,9,walking
23,17,-3,17,10,30,32,22,20,36,-5,30,walking
34,17,-13,25,8,4,39,9,35,-6,-6,55,walking
28,5,-2,38,11,51,31,8,48,-5,-8,62,walking
30,18,-29,14,18,0,39,-2,58,51,0,58,walking
27,0,4,27,21,6,33,19,39,34,-14,64,walking
31,0,9,27,22,-24,35,-7,40,38,9,25,walking
12,-5,-2,36,14,6,48,29,35,17,9,75,walking
25,-7,11,23,16,-15,34,13,26,46,5,47,walking
26,-9,39,29,19,-16,35,23,21,48,10,43,walking
30,-5,30,22,13,-9,35,11,7,36,7,8,walking
22,17,5,37,10,7,41,13,17,44,12,33,walking
29,-5,21,27,-3,12,34,19,-6,31,13,16,walking
19,10,10,21,-2,20,29,20,1,20,16,33,walking
6,-7,55,15,-13,33,28,14,-17,35,2,27,walking
14,-20,30,34,-16,29,36,15,-8,39,13,34,walking
36,-14,42,14,-17,51,29,19,-14,41,9,12,walking
20,-27,77,32,0,6,40,19,-17,33,19,23,walking
45,16,15,37,-13,19,34,9,-18,31,14,5,walking
19,24,40,49,-19,14,41,7,-17,31,18,0,walking
33,3,42,-3,-7,34,2,-18,26,7,14,-28,walking
25,14,18,5,-44,73,24,7,13,24,19,-1,walking
