-65,104,-111,14,17,11,14,23,24,-47,106,-111,walking
-35,115,-47,-78,101,-107,-76,94,-90,-80,131,-85,walking
-50,89,-122,-45,142,-45,-42,135,-66,-46,136,-91,walking
-56,130,-60,-66,109,-118,-65,95,-100,-65,149,-75,walking
-54,113,-119,-34,119,-82,-29,132,-67,-29,146,-77,walking
-82,127,-98,-44,93,-117,-55,104,-113,-80,128,-105,walking
-60,130,-116,-46,106,-98,-46,121,-96,-37,132,-98,walking
-72,131,-117,-43,75,-99,-49,104,-104,-83,118,-94,walking
-45,121,-97,-59,106,-98,-47,107,-106,-35,112,-96,walking
-66,114,-103,-59,81,-91,-44,94,-114,-74,121,-105,walking
-36,127,-101,-73,117,-82,-41,99,-100,-33,121,-96,walking
-73,81,-88,-68,116,-114,-40,79,-114,-56,113,-100,walking
-32,133,-87,-75,122,-93,-43,100,-109,-39,122,-94,walking
-99,136,-97,-48,120,-118,-43,90,-103,-55,111,-104,walking
-41,154,-96,-67,131,-103,-41,113,-100,-36,118,-101,walking
-84,137,-98,-41,135,-118,-61,85,-86,-49,92,-104,walking
-23,142,-116,-65,116,-116,-66,129,-81,-36,106,-103,walking
-88,118,-113,-40,132,-101,-56,108,-103,-46,92,-99,walking
-26,129,-103,-73,98,-110,-86,133,-86,-42,108,-97,walking
-75,103,-110,-69,171,-98,-54,136,-125,-53,81,-97,walking
-24,106,-99,-95,140,-93,-65,133,-114,-53,114,-88,walking
-54,102,-92,-43,129,-107,-55,136,-101,-55,98,-104,walking
-48,125,-92,-82,111,-86,-63,77,-86,-69,134,-111,walking
-82,88,-99,-30,126,-113,-70,162,-97,-48,107,-121,walking
-31,99,-64,-73,86,-110,-87,104,-83,-82,126,-75,walking
-51,113,-102,-41,123,-74,-45,135,-85,-33,117,-111,walking
-40,128,-51,-72,96,-106,-72,95,-95,-78,136,-80,walking
-49,110,-106,-45,113,-47,-44,130,-55,-45,148,-79,walking
-54,100,-78,-32,106,-119,-62,111,-104,-73,75,-95,walking
-42,129,-83,-59,120,-58,-42,112,-82,-34,112,-86,walking
-96,132,-89,-52,114,-107,-40,93,-100,-62,99,-92,walking
-55,152,-92,-71,127,-101,-39,103,-102,-35,96,-85,walking
-91,109,-82,-53,124,-103,-61,92,-72,-44,81,-92,walking
-37,129,-100,-71,84,-85,-61,128,-80,-38,100,-95,walking
-93,95,-108,-70,143,-91,-63,135,-115,-39,89,-100,walking
-23,107,-95,-109,151,-100,-67,135,-120,-67,111,-74,walking
-66,95,-104,-45,132,-99,-61,111,-98,-58,110,-110,walking
-19,100,-90,-72,119,-109,-72,136,-107,-76,137,-90,walking
-41,90,-101,-32,131,-87,-53,183,-79,-35,136,-118,walking
-38,102,-90,-75,118,-98,-75,113,-101,-58,105,-93,walking
-45,84,-100,-24,110,-91,-36,137,-99,-49,134,-89,walking
-43,113,-95,-62,108,-95,-78,117,-97,-99,163,-96,walking
-64,96,-86,-23,102,-94,-30,110,-93,-48,133,-94,walking
-76,136,-91,-45,87,-98,-56,95,-87,-87,132,-79,walking
-53,124,-122,-42,108,-108,-31,118,-101,-32,131,-106,walking
-57,107,-109,-51,89,-85,-52,104,-104,-73,116,-106,walking
-32,109,-124,-55,112,-90,-47,110,-87,-39,120,-88,walking
-73,89,-96,-56,89,-93,-40,95,-102,-61,111,-92,walking
-46,163,-97,-92,145,-71,-35,99,-100,-43,119,-82,walking
-70,107,-77,-35,117,-109,-58,89,-88,-72,99,-98,walking
-57,146,-69,-70,104,-63,-39,122,-56,-23,122,-65,walking
-81,102,-112,-35,138,-74,-32,107,-107,-48,104,-97,walking
-37,128,-85,-81,122,-83,-57,114,-76,-56,113,-52,walking
-65,105,-99,-44,135,-87,-21,104,-89,-46,122,-107,walking
-29,114,-97,-81,111,-99,-88,133,-91,-66,136,-103,walking
-46,86,-102,-33,111,-87,-38,137,-97,-44,113,-98,walking
-41,104,-97,-58,103,-93,-79,121,-102,-85,109,-95,walking
-61,83,-90,-33,105,-92,-34,122,-95,-62,169,-92,walking
-61,110,-85,-50,97,-111,-95,99,-97,-97,154,-116,walking
-63,94,-105,-33,98,-99,-32,102,-93,-37,133,-104,walking
-73,127,-102,-40,91,-115,-59,109,-109,-85,115,-109,walking
-44,126,-124,-47,103,-105,-30,110,-100,-38,128,-100,walking
-32,130,-104,-77,100,-107,-75,128,-72,-40,110,-105,walking
-75,128,-116,-42,136,-94,-57,128,-123,-51,92,-95,walking
-29,107,-98,-105,152,-110,-68,127,-116,-55,112,-86,walking
-61,109,-89,-36,125,-99,-34,113,-101,-69,104,-91,walking
-48,120,-88,-80,120,-118,-77,83,-108,-90,121,-91,walking
-69,103,-107,-36,120,-96,-55,153,-85,-49,108,-119,walking
-74,97,-78,-54,99,-115,-62,108,-129,-70,101,-117,walking
-54,160,-90,-83,133,-75,-48,122,-94,-42,123,-92,walking
-103,109,-105,-73,128,-93,-57,89,-98,-51,93,-105,walking
-30,119,-107,-92,90,-102,-80,129,-93,-62,107,-94,walking
-81,83,-110,-51,141,-88,-98,122,-122,-62,99,-96,walking
-32,109,-98,-104,150,-116,-78,124,-107,-64,124,-84,walking
-65,106,-97,-34,119,-101,-50,109,-99,-77,125,-102,walking
-34,118,-98,-80,123,-110,-79,96,-97,-79,135,-110,walking
