x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,type
23,-12,-118,-13,24,-134,31,5,-117,159,-106,-180,251,-231,-176,jumping
0,-14,-155,-19,9,-138,33,13,-137,115,-9,-158,251,-95,-126,jumping
210,-50,-204,-56,3,-139,23,-2,-97,60,15,-204,251,-192,-181,jumping
157,-61,-150,251,-127,-146,-4,-8,-126,-92,-27,-120,8,13,-134,jumping
107,-24,-161,251,-179,-111,18,6,-195,-24,-3,-113,-1,0,-108,jumping
111,-12,-101,251,-123,-194,77,-12,-217,-106,-26,-84,12,12,-89,jumping
70,4,-92,251,-92,-138,113,-33,-182,-42,-33,-128,-30,-20,-61,jumping
9,9,-128,251,-39,-190,183,-39,-253,-74,-50,-148,19,0,-100,jumping
1,12,-152,251,-74,-48,198,-136,-125,-20,-34,-98,-22,-4,-116,jumping
62,7,-143,251,-174,-151,179,-87,-209,-67,-17,-117,-8,0,-113,jumping
16,17,-141,251,-105,-149,148,-23,-206,-17,6,-98,-47,-15,-90,jumping
-55,-8,-130,251,-209,-157,251,-101,-147,-18,2,-102,-7,-5,-106,jumping
-18,-15,-124,251,-158,-203,251,-100,-122,-20,10,-141,-55,-3,-136,jumping
-8,7,-117,190,-45,-165,251,-128,-180,24,4,-137,-9,8,-130,jumping
3,-6,-89,50,9,-143,251,-153,-203,237,36,-223,-29,5,-125,jumping
10,15,-116,1,7,-107,9,-1,-159,166,-50,-191,251,-72,-239,jumping
-26,-28,-72,-12,-5,-128,11,-14,-82,169,-14,-193,251,33,-233,jumping
180,8,-163,-2,-22,-82,5,-13,-134,102,-35,-135,251,-194,-237,jumping
251,-1,-161,-74,-6,-107,3,-14,-115,29,-16,-178,251,-74,-171,jumping
251,-51,-122,-64,29,-122,19,8,-141,7,-2,-133,243,-59,-165,jumping
251,37,-188,3,-3,-116,-27,5,-166,8,-3,-96,167,-2,-160,jumping
251,-161,-142,64,8,-96,-51,4,-155,9,-4,-93,30,-7,-119,jumping
251,-109,-180,210,-61,-183,-49,-4,-78,-15,-10,-99,33,11,-131,jumping
